custody_agency,date_of_release,sex,age,race_ethnicity,zip
,,,,,
PDP,6/19/2015 0:00,Male,34,Black,
,,,,,
State,9/8/2015 0:00,Male,66,Black,19133
,,,,,
PDP,10/2/2015 0:00,Male,61,Black,19132
,,,,,
PDP,5/5/2015 0:00,Female,41,Black,
,,,,,
PDP,1/8/2015 0:00,Male,23,White,19134
,,,,,
PDP,9/16/2015 0:00,Male,78,Black,
,,,,,
PDP,10/16/2015 0:00,Male,80,Other,19120
,,,,,
PDP,8/28/2015 0:00,Male,77,Black,19104
,,,,,
PDP,6/12/2015 0:00,Male,75,Black,
,,,,,
PDP,6/9/2015 0:00,Female,73,Black,19143
,,,,,
State,6/30/2015 0:00,Male,73,White,19124
,,,,,
PDP,6/12/2015 0:00,Male,74,Black,19133
,,,,,
PDP,12/22/2015 0:00,Male,72,Black,19121
,,,,,
PDP,3/3/2015 0:00,Male,70,Black,19139
,,,,,
State,3/1/2015 0:00,Male,73,Black,19135
,,,,,
State,12/7/2015 0:00,Female,73,Black,19146
,,,,,
PDP,12/2/2015 0:00,Male,71,Black,19131
,,,,,
PDP,2/25/2015 0:00,Male,69,Black,19133
,,,,,
State,11/16/2015 0:00,Female,76,Black,19134
,,,,,
PDP,8/6/2015 0:00,Male,71,Black,
,,,,,
PDP,7/7/2015 0:00,Male,73,Black,19132
,,,,,
PDP,9/14/2015 0:00,Male,72,Black,
,,,,,
State,6/15/2015 0:00,Male,72,Black,19124
,,,,,
State,4/22/2015 0:00,Male,73,Black,19141
,,,,,
PDP,10/3/2015 0:00,Male,72,Black,19121
,,,,,
PDP,5/4/2015 0:00,Male,71,Black,19139
,,,,,
State,3/9/2015 0:00,Male,67,Black,19124
,,,,,
PDP,4/9/2015 0:00,Male,71,Black,19140
,,,,,
State,8/24/2015 0:00,Male,68,Black,19123
,,,,,
State,2/9/2015 0:00,Male,69,Black,19124
,,,,,
PDP,6/5/2015 0:00,Male,69,Black,19101
,,,,,
PDP,12/24/2015 0:00,Male,68,Black,
,,,,,
State,10/15/2015 0:00,Male,69,Black,19121
,,,,,
PDP,7/28/2015 0:00,Male,68,Black,
,,,,,
PDP,2/11/2015 0:00,Male,69,Black,19133
,,,,,
PDP,8/6/2015 0:00,Male,73,Black,
,,,,,
PDP,11/10/2015 0:00,Male,70,Black,19146
,,,,,
PDP,4/17/2015 0:00,Male,69,White,19111
,,,,,
State,4/13/2015 0:00,Male,68,Black,19130
,,,,,
PDP,5/7/2015 0:00,Male,67,Black,19104
,,,,,
PDP,2/21/2015 0:00,Male,74,Black,19132
,,,,,
State,2/17/2015 0:00,Male,68,Black,19140
,,,,,
PDP,2/10/2015 0:00,Male,67,Black,19132
,,,,,
State,11/8/2015 0:00,Male,69,Black,19121
,,,,,
PDP,8/3/2015 0:00,Male,70,Black,19126
,,,,,
PDP,7/7/2015 0:00,Male,69,Black,19104
,,,,,
PDP,9/11/2015 0:00,Male,69,Black,
,,,,,
PDP,1/21/2015 0:00,Male,69,Black,19141
,,,,,
State,3/9/2015 0:00,Male,70,Black,19130
,,,,,
PDP,7/24/2015 0:00,Male,65,Black,
,,,,,
State,6/19/2015 0:00,Male,70,Black,19147
,,,,,
PDP,3/31/2015 0:00,Male,70,Hispanic,19134
,,,,,
State,9/5/2015 0:00,Male,68,White,19142
,,,,,
State,9/8/2015 0:00,Male,66,Black,19133
,,,,,
PDP,11/13/2015 0:00,Male,65,Black,
,,,,,
State,1/21/2015 0:00,Male,68,Black,19130
,,,,,
PDP,12/14/2015 0:00,Male,71,Black,19131
,,,,,
PDP,7/18/2015 0:00,Male,67,Black,19133
,,,,,
PDP,4/2/2015 0:00,Male,67,Black,
,,,,,
State,2/14/2015 0:00,Male,66,Black,19123
,,,,,
PDP,9/16/2015 0:00,Male,67,Black,19150
,,,,,
PDP,5/18/2015 0:00,Male,66,White,19149
,,,,,
State,11/23/2015 0:00,Male,71,White,19134
,,,,,
PDP,2/11/2015 0:00,Male,67,Black,19126
,,,,,
State,11/9/2015 0:00,Male,67,Black,19139
,,,,,
State,11/26/2015 0:00,Male,67,Black,19140
,,,,,
PDP,1/26/2015 0:00,Male,65,White,19126
,,,,,
PDP,6/4/2015 0:00,Male,70,Black,
,,,,,
PDP,9/4/2015 0:00,Male,63,Black,
,,,,,
PDP,3/18/2015 0:00,Male,67,Black,19139
,,,,,
PDP,4/15/2015 0:00,Male,65,Hispanic,19134
,,,,,
State,2/17/2015 0:00,Male,66,Black,19134
,,,,,
State,10/5/2015 0:00,Male,64,Black,19133
,,,,,
State,2/18/2015 0:00,Male,66,White,19147
,,,,,
PDP,11/2/2015 0:00,Male,68,White,19149
,,,,,
PDP,10/21/2015 0:00,Male,68,Black,19134
,,,,,
PDP,12/23/2015 0:00,Male,67,Black,19120
,,,,,
PDP,4/10/2015 0:00,Male,66,Black,19144
,,,,,
PDP,4/30/2015 0:00,Male,66,Black,
,,,,,
PDP,12/28/2015 0:00,Male,68,Black,19119
,,,,,
PDP,3/31/2015 0:00,Male,66,Black,
,,,,,
PDP,9/9/2015 0:00,Male,65,Black,19145
,,,,,
PDP,10/29/2015 0:00,Male,66,Black,
,,,,,
PDP,12/15/2015 0:00,Male,67,Black,
,,,,,
PDP,7/8/2015 0:00,Male,65,Black,19104
,,,,,
PDP,9/14/2015 0:00,Male,65,Black,19140
,,,,,
PDP,7/28/2015 0:00,Male,65,Hispanic,19148
,,,,,
PDP,5/29/2015 0:00,Male,65,White,
,,,,,
State,7/12/2015 0:00,Male,63,Black,19143
,,,,,
State,7/12/2015 0:00,Male,63,Black,19143
,,,,,
PDP,2/3/2015 0:00,Female,67,Black,19146
,,,,,
PDP,3/10/2015 0:00,Male,64,Black,19131
,,,,,
State,9/21/2015 0:00,Male,67,Black,19140
,,,,,
PDP,7/14/2015 0:00,Male,66,Black,19131
,,,,,
PDP,2/4/2015 0:00,Male,65,Black,19143
,,,,,
PDP,5/13/2015 0:00,Male,65,Black,
,,,,,
PDP,12/11/2015 0:00,Male,65,Black,
,,,,,
PDP,8/10/2015 0:00,Male,65,Black,19134
,,,,,
PDP,5/27/2015 0:00,Male,65,Black,19100
,,,,,
PDP,3/13/2015 0:00,Female,69,Black,19140
,,,,,
PDP,3/20/2015 0:00,Male,68,Black,19143
,,,,,
PDP,6/15/2015 0:00,Male,65,Black,19138
,,,,,
PDP,1/13/2015 0:00,Male,66,Black,
,,,,,
State,9/15/2015 0:00,Male,70,Black,19141
,,,,,
PDP,10/27/2015 0:00,Male,65,White,19129
,,,,,
PDP,1/20/2015 0:00,Male,64,Black,
,,,,,
